column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
18,0.00641483085735222,0.00981170608455407,0.0112492473776097,0.00848282709739281,0.00425484471322715,0.00388243103265022,0.00448122115219664,0.0029024226016251
18.25,0.00246277502429682,0.00551705085758248,0.00574870239630054,0.0026906058549479,0.00762628298459482,0.00464942602005351,0.0033744741951094,0.00529437122745077
18.5,0.00234897912570598,0.00595315657547249,0.00501353992545847,0.00135511492777134,0.00824128889167147,0.00413327280032665,0.00157164783635404,0.00557637796219695
18.75,0.00227647204005741,0.00580913508117064,0.00437040886817475,0.000802164720373956,0.00715089111276817,0.004376398185673,0.00210067350400666,0.00836013428576525
19,0.0134983144697766,0.011025796306448,0.00480149383844752,0.0156079729336681,0.0051666503257298,0.0112186456249301,0.0174326320487376,0.00894090967464112
19.25,0.00240865116714571,0.00414295032551451,0.00397990477215907,0.00039232308190345,0.00435753885269206,0.00365863563621958,0.00485492163420453,0.00813382616325563
19.5,0.0025402553191638,0.00322187914523474,0.00413413083851046,0.000894491567951479,0.00200421694975857,0.00205283271843819,0.00682875254576788,0.00693515547557857
19.75,0.00262538970835357,0.00281516487370766,0.00437534736458691,0.00199331460458898,0.00109564260252827,0.00302773916511519,0.00720002586335029,0.00374131738876249
20,0.00502541608721581,0.00560717128797618,0.00911511712406033,0.00945242760314808,0.00719438124473391,0.00728310606805178,0.00249929952758329,0.00496504718421852
20.25,0.0025443406260041,0.00362821571160367,0.00477043350842917,0.00440596880314931,0.00357921438799379,0.00192689800464429,0.00500708699356118,0.00398695836017806
20.5,0.00242407188370594,0.00383536652565876,0.00497436384718879,0.00516011156323581,0.00464664846297519,0.0018282964953637,0.00245768429825821,0.00767954561756443
20.75,0.00232709139356051,0.00360916019316621,0.00505586569240136,0.0053050665279119,0.00472149835598062,0.00368257663570139,0.00288328006570645,0.00880045843113431
21,0.0112768093748555,0.00619796839716218,0.0115060969360096,0.0171115034931031,0.00857562596247568,0.0139223363320377,0.0122965024016152,0.00394439598002015
21.25,0.00235078447874782,0.00204670325728229,0.00461021885743376,0.00414160237756594,0.00450724063076277,0.00409981688486416,0.00412896573231701,0.00347202463040074
21.5,0.00241122989000271,0.00164784036202151,0.00390264286233053,0.0030828838649596,0.00326081287521345,0.00331973673505752,0.00432712465905362,0.00221709251166466
21.75,0.0024255335417365,0.00236727861902439,0.00283798749848972,0.00241659330069103,0.00263007549573696,0.00455807696729776,0.00406018659244711,0.00413667128117254
22,0.00458448823118895,0.0065405772812432,0.0108104427909959,0.00534927777341024,0.0101896268514697,0.00677485874670922,0.00278880382634013,0.00229520498572313
22.25,0.00224535414833284,0.00440332069665289,0.00140270768055267,0.00272706097803478,0.00094148199464577,0.00316185373178593,0.00117469823319361,0.00526874198808386
22.5,0.00211887787147175,0.00500097989271731,0.00268977706854473,0.0031170879215953,0.00176371563710734,0.00242710221919778,0.00306407800562205,0.00462912699498853
22.75,0.00205645754732943,0.00513133272072522,0.00416364609648403,0.00292300919024887,0.00299503737491869,0.00158385460130258,0.0026938396977043,0.00125362970224588
23,0.0102287426464367,0.0101855655282838,0.0163333165848312,0.00097286957139202,0.00857427013090256,0.0128432190137292,0.00695684000118186,0.00530913860350801
23.25,0.00220191625655218,0.00457773067391873,0.00596790149685391,0.00184384559829122,0.00363678784735878,0.0022435322500846,0.0026510049671634,0.00068139048466898
23.5,0.00230098513219594,0.00425238761749663,0.00601874741260935,0.00115855708534036,0.00366343559790014,0.00288399020475052,0.0029352752931782,0.000243160883591707
23.75,0.00232972827662816,0.00412735772294595,0.00548094179580629,0.00130546414919941,0.00306270214968539,0.00442948382877688,0.00223756763017464,0.00424295529686907
24,0.00366114072019337,0.00325379804385779,0.00564808551268923,0.0117425047966635,0.00672847906480937,0.00770392840016676,0.00188559875190999,0.00540710338321381
24.25,0.00215067601683602,0.00409474511738561,0.00284078688943889,0.00193009631996102,0.0015057229257108,0.00590031064530583,0.00330270918153218,0.00119639035193272
24.5,0.00203499047921391,0.00381065912235005,0.00109592185832292,0.00222945198900869,0.00109339147730522,0.00509209476938772,0.00296987289403199,0.00314456078875958
24.75,0.00199620811542162,0.00315823106876006,0.000728615455000898,0.00238658159033317,0.00126363234577777,0.0047384894635883,0.00493679434759598,0.00185539720787391
25,0.00876264695650104,0.00463268536101707,0.0160274041974347,0.01285566644212,0.0103397844060135,0.00256214128271395,0.00521764568429189,0.00607786871787631
25.25,0.00217418609909667,0.000957268163598437,0.0035621013111539,0.00347116129012027,0.00130085981885108,0.00300170337944209,0.00463466262063873,0.0029497646505986
25.5,0.00226360727865067,0.000865774312941327,0.0043412873826045,0.00405239281503941,0.00148332690120403,0.00261443967079253,0.00439452490306855,0.00273387330438106
25.75,0.00226822965522923,0.00222395726163269,0.00465874535443625,0.00447118769284892,0.00147029189429101,0.00216586743263777,0.00353372303680176,0.0018271833407975
26,0.00292591518271065,0.00449199087919539,0.00367425222575542,0.00234749546740766,0.00181917307310571,0.00198150864852289,0.00416491441216028,0.0105322753772879
26.25,0.0020345366064053,0.00442128186214107,0.00407413548277796,0.0044262448057902,0.00169063794494424,0.00084599874629603,0.00489022369113437,0.000939637815843372
26.5,0.00190454348813205,0.00500034449385764,0.00341056715250848,0.00409608784357553,0.00147423879759999,0.00132518113876803,0.00320952367866466,0.00247852800632295
26.75,0.00186501805474952,0.00512488777222555,0.00272778685244954,0.00356819150364187,0.00143790412429543,0.00358560974093795,0.00337478493307203,0.00230771859799074
27,0.00737364490562844,0.00603633568147666,0.00550094142909565,0.00634867940972675,0.0140799612949004,0.00886414179096143,0.00712825377223732,0.00864737651961826
27.25,0.00204014697942244,0.00448996326625296,0.00182989122762794,0.00290233223214418,0.00284663269320614,0.00428388796616551,0.0021732641830718,0.00435197558187191
27.5,0.00211385585009387,0.00402976904005523,0.00157558629714104,0.00266202406087734,0.00372434457891504,0.00432408872153786,0.00307811449991444,0.00118595874720247
27.75,0.00209630311602798,0.00372230605866486,0.00137057384100362,0.00271907972374311,0.00436941039341173,0.00480139307385244,0.00202985737885073,0.0023270743949083
28,0.0024847515698841,0.00654900813115563,0.00456757094213784,0.0053949400170082,0.00592354112037923,0.00324955465023614,0.00274859706578657,0.00764284148201621
28.25,0.0018417735865895,0.00347077290281561,0.00138811390111508,0.00310687294738051,0.00424939214586294,0.00170713030538961,0.00287754707442549,0.00294087375730521
28.5,0.00173001360335587,0.00325822996806193,0.00193042125001283,0.00367845790472671,0.00363796030485888,0.00193198838145648,0.00275342930244334,0.00452507780361989
